 Короткий заголовок,Длинный заголовок,Уникальный (Да\Нет),Код анализа,Биоматериал,Цена,Инструкция для врача,Описание для пациентов,Инструкция для пациентов,Описание для врачей,Категорий анализов (с подкатегорием),Артикул анализа,Сроки анализов
ГГТП,ГГТП (гамма-глутамилтранспептидаза) ,нет,1,сыворотка крови,2500,"Показания к назначению
Острые и хронические гепатиты,
Обструктивные поражения печени,
Обтурационная желтуха,
Желчнокаменная болезнь,
Опухолевый процесс,
Алкогольное поражение печени.
Интерферирующие факторы
Повышают:
Аспирин, Парацетамол, Фенобарбитал, статины, антибиотики, гистаминоблокаторы, противогрибковые препараты, антидепрессанты, оральные контрацептивы, Тестостерон.                                                              

Снижают:
длительный прием Аскорбиновой кислоты.","Гамма-глутамилтранспептидаза (ГГТП) - фермент, катализирующий перенос аминокислот через клеточную мембрану, а также участвующий в микросомальных окислительных процессах.
ГГТП является мембраносвязанным ферментом. В значительных концентрациях ГГТП обнаружена в печени, поджелудочной железе, почках и предстательной железе (поэтому у мужчин активность ГГТП в сыворотке крови приблизительно на 50% выше, чем у женщин). В клетках других тканей ГГТП содержится в небольших количествах.
В основном активность ГГТП присутствует в мембранах клеток, обладающих высокой секреторной или поглотительной способностью, таких как эпителиальные клетки желчевыводящих путей, клетки проксимальных канальцев почек, ацинарная ткань поджелудочной железы и ее протоки, щеточная каемка клеток кишечника.
Изменение активности ГГТП в сыворотке имеет большое диагностическое значение при заболеваниях печени и гепатобилиарного тракта. Этот фермент более чувствителен к нарушениям функционирования клеток печени, чем АЛТ, АСТ, щелочная фосфатаза. Особенно чувствительна ГГТП к влиянию на печень длительного потребления алкоголя. У лиц, злоупотребляющих алкоголем, сывороточный уровень ГГТП коррелирует с количеством принимаемого алкоголя. Тест особенно ценен для контроля лечения алкоголизма: прекращение приема алкоголя снижает активность фермента приблизительно на 50% в течение 10 дней.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду), допустимо днем через 4 часа после легкого приема пищи, но в течение дня показатели крови могут существенно меняться, результат «утреннего» анализа - самый достоверный. Накануне избегать пищевых перегрузок. Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
Повышение активности гамма-глутамилтранспептидазы: некроз печеночных клеток, нарушение оттока желчи, интоксикация алкоголем, опухолевый рост в печени, лекарственные поражения печени.
Причины отклонения показателей от нормы (сниженные значения)
Снижение активности гамма-глутамилтранспептидазы: гипотиреоз.",биохимическое исследование крови (субстраты ),123,1 рабочий день
Щелочная фосфатаза,Щелочная фосфатаза,нет,1,сыворотка крови,2500,"Показания к назначению
Различные заболевания печени,
Патология желчевыводящих путей,
Препятствия оттоку желчи,
Желчнокаменная болезнь,
Заболевания костей,
Диагностика рахита у детей.
Интерферирующие факторы
Повышают:
Азатиоприн, Карбазон, Андрогены, Бензодиазепины, Имипрамин, Карбамазепин, Мепробамат, Мерказолил, Никотиновая кислота, Пенициллины, пероральные контрацептивы, прогестины, сульфаты, сульфаниламиды, Фенотиазины, Эритромицин, Эстрогены, Метотрексат, антибиотики широкого спектра действия, сульфаниламиды, большие дозы Витамина С, магнезии.                                                                        

Снижают:
фториды, оксалаты, фосфаты, Бериллий, соли цинка, Марганец, арсениты, Цитраты, цианиды, тиосульфаты, ЭДТА, Эстрогены, оральные контрацептивы, Даназол, Азатиоприн, Клофибрат.","Щелочная фосфатаза (ЩФ) - металлопротеин, в его активный центр входит атом цинка, активность возрастает в присутствии ионов магния и хлора.
ЩФ катализирует отщепление фосфорной кислоты от ее органических соединений. Свое название фермент получил в связи с тем, что его оптимум pH лежит в щелочной среде (pH 8,6-10,1). Щелочная фосфатаза локализована на клеточной мембране и принимает участие в транспортировке фосфора.
ЩФ широко представлена в тканях человека, особенно в костной, слизистой кишечника, стенках желчных протоков печени, почечных канальцах, плаценте и лактирующей молочной железе. Особенно высокое ее содержание обнаруживается в растущих костях.
Повышение активности ЩФ в крови происходит, главным образом, при костных заболеваниях, связанных с пролиферацией остеобластов и болезнях, сопровождающихся явлениями холестаза.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду), допустимо днем через 4 часа после легкого приема пищи, но в течение дня показатели крови могут существенно меняться, результат «утреннего» анализа - самый достоверный. Накануне избегать пищевых перегрузок. Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
Повышение активности щелочной фосфатазы: метастазы рака в кость, остеогенная саркома, болезнь Педжета, синдром Кушинга, уремическая остеодистрофия, инфекционный мононуклеоз, гиперпаратиреодизм, холангит, абсцесс печени, гепатоцеллюлярная карцинома, вторичный рак, регенерация печени, инфекционные и токсические гепатиты, язвенный колит, энтерит, кишечные инфекции, тиреотоксикоз, инфаркт легкого и почки.
Причины отклонения показателей от нормы (сниженные значения)
Снижение активности щелочной фосфатазы: гипотиреоидизм, цинга, анемия, ахондроплазия, пернициозная анемия (недостаток витамина В12), недостаток цинка, магния в пище.",биохимическое исследование крови (субстраты ),123,1 рабочий день
Холинэстераза,Холинэстераза,нет,1,сыворотка крови,2500,"Показания к назначению
Диагностика печеночной патологии,
Диагностика отравления фосфорорганическими соединениями,
Оценка чувствительности к действию миорелаксантов.
Интерферирующие факторы
Снижают:
Карбамат, Циклофосфамид, Эстрогены, миорелаксанты, пероральные контрацептивы, фосфорорганические инсектициды, Фенотиазины, рентгенконтрастные вещества, Тестостерон, бораты, Цитрат, фториды, Пирофосфат, третичные и четвертичные амины.","Псевдохолинэстераза (холинэстераза, ХЭ) - фермент, катализирующий реакцию гидролиза ацетилхолина.
Различают два фермента данного типа - истинная ацетилхолинэстераза, которая преимущественно находится в нервной ткани, скелетных мышцах и в низкой концентрации в эритроцитах; и сывороточная или псевдохолинэстераза, которая присутствует в печени, поджелудочной железе, секретируется печенью в кровь.
Определение активности ХЭ в сыворотке представляет наибольший клинический интерес для диагностики отравлений фосфорорганическими веществами и инсектицидами, а также как показатель состояния белоксинтетической функции печени и для обнаружения атипичных вариантов фермента (дибукаин-резистентная форма).","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду), допустимо днем через 4 часа после легкого приема пищи, но в течение дня показатели крови могут существенно меняться, результат «утреннего» анализа - самый достоверный. Накануне избегать пищевых перегрузок. Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
Повышение активности псевдохолинэстеразы: гиперлипопротеинемия 4 типа, нефротический синдром, ожирение, психоз, невроз, рак молочной железы.
Причины отклонения показателей от нормы (сниженные значения)
Снижение активности псевдохолинэстеразы: атипичные формы фермента, отравление фосфорорганическими соединениями, гепатит, цирроз, метастазы рака в печень, острые инфекции, инфаркт миокарда, легочная эмболия, мышечная дистрофия, хронические заболевания почек, мальабсорбция.",биохимическое исследование крови (субстраты ),123,1 рабочий день
ГлДГ,"ГлДГ (глутаматдегидрогеназа, GLDH) ",нет,1,сыворотка крови,2500,"Показания к назначению
Острые гепатиты с некрозом печени,
Рак печени,
Печеночная кома,
Острая интоксикация,
Механическая желтуха.
Интерферирующие факторы
Интерферирующие факторы не установлены.","Глутаматдегидрогеназа (ГлДГ) - цинксодержащий митохондриальный фермент, участвующий в обмене аминокислот, преимущественно содержится в печени. В незначительном количестве он обнаружен в нервной ткани, скелетных мышцах, миокарде и молочной железе.
ГлДГ - один из органоспецифических ферментов, который определяется в сыворотке крови при заболеваниях печени. Поскольку фермент является митохондриальным, то степень повышения его концентрации отражает глубину цитолиза при заболеваниях печени, по уровню которого можно судить о тяжести патологического процесса.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду), допустимо днем через 4 часа после легкого приема пищи, но в течение дня показатели крови могут существенно меняться, результат «утреннего» анализа - самый достоверный. Накануне избегать пищевых перегрузок. Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
Повышение активности глутаматдегидрогеназы: гепатиты, механическая желтуха, рак печени, острая интоксикация, тромбоз печеночной вены, правосердечная недостаточность.",биохимическое исследование крови (субстраты ),123,1 рабочий день
Альфа-амилаза,Альфа-амилаза,нет,1,сыворотка крови,3000,"Показания к назначению
Диагностика острого панкреатита, эпидемического паротита,
Острые абдоминальные боли.
Интерферирующие факторы
Повышают:
Аспарагиназа, Азатиоприн, Каптоприл, Циметидин, Клофибрат, кортикостероиды, Ципрогептадин, диданозин, Эстрогены, Этакриновая кислота, Фуросемид, Ибупрофен, Индометацин, Мефенаминовая кислота, Метилдофа, Нитрофурантоин, пероральные контрацептивы, Пентамидин, Фенилбутазон, сульфонамиды, Сулиндак, Тетрациклин, Тиазидные диуретики, Вальпроевая кислота и др.                                                                      

Снижают: анаболические стероиды.","Альфа-амилаза - фермент, осуществляющий расщепление полисахаридов (гликоген, крахмал). Наиболее богаты этим ферментом поджелудочная и слюнные железы, он секретируется в кровь, главным образом, из этих органов. В крови содержатся два изоэнзимных типа альфа-амилазы - панкреатическая и слюнная. У практически здоровых людей содержание этих типов альфа-амилазы в крови практически одинаково. Активность альфа-амилазы не зависит от принимаемой пищи и времени суток.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду). Накануне избегать пищевых перегрузок.  Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови. ","Причины отклонения показателей от нормы (повышенные значения)
Повышение активности альфа-амилазы: паротит, панкреатит, острая непроходимость или инфаркт кишечника, заболевания желчных путей, киста поджелудочной железы, перитонит, язва желудка и двенадцатиперстной кишки, почечная недостаточность, послеоперационный период, внематочная беременность, прием алкоголя.
Причины отклонения показателей от нормы (сниженные значения)
Снижение активности альфа-амилазы: недостаточность поджелудочной железы, муковисцидоз, тяжелые поражения печени, сахарный диабет, гипотиреоз, недостаточность питания.",биохимическое исследование крови (субстраты ),123,1 рабочий день
Альфа-амилаза панкреатическая ,Альфа-амилаза панкреатическая ,нет,1,сыворотка крови,3500,"Показания к назначению
Диагностика острого панкреатита,
Острые абдоминальные боли.
Интерферирующие факторы
Повышают:
Каптоприл, кортикостероиды, оральные контрацептивы, Фуросемид, Ибупрофен, наркотические анальгетики.","Панкреатическая альфа-амилаза - фермент, осуществляющий расщепление полисахаридов (гликоген, крахмал).
Синтезируется в поджелудочной железе, резкое возрастание активности этого фермента в сыворотке крови характерно для острых панкреатитов.
Определение активности панкреатической фракции амилазы особенно важно при хроническом панкреатите у больных с нормальным уровнем общей амилазы.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду). Накануне избегать пищевых перегрузок.  Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови. ","Причины отклонения показателей от нормы (повышенные значения)
Повышение концентрации панкреатической альфа-амилазы: острый панкреатит, обострение хронического панкреатита, токсические поражения поджелудочной железы, воспалительные процессы, затрагивающие поджелудочную железу (при перитоните, холецистите, желчнокаменной болезни).
Причины отклонения показателей от нормы (сниженные значения)
Снижение концентрации: недостаточность поджелудочной железы,муковисцидоз, тяжелые поражения печени,сахарный диабет, гипотиреоз, недостаточность питания.",биохимическое исследование крови (субстраты ),123,1 рабочий день
Липаза ,Липаза ,нет,1,сыворотка крови,3500,"Показания к назначению
Острый и хронический панкреатит,
Заболевания желчного пузыря,
Поражения печени.
Интерферирующие факторы
Повышают:
препараты, вызывающие сокращение сфинктера, а именно: Одди, Каптоприл, кортикостероиды, оральные контрацептивы, Фуросемид, Ибупрофен, наркотические анальгетики, Гепарин.","Липаза - фермент, катализирующий расщепление глицеридов на глицерин и высшие жирные кислоты.
Липаза в организме человека вырабатывается рядом органов и тканей, соответственно и чему различают липазу желудочного происхождения, поджелудочной железы, легких, кишечного сока, лейкоцитов и др.
Основной источник липазы - поджелудочная железа, при ее заболеваниях происходит значительный выброс фермента в циркулирующую кровь. Определение активности липазы в крови является наиболее информативным критерием диагностики острого панкреатита.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду). Накануне избегать пищевых перегрузок.  Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови. ","Причины отклонения показателей от нормы (повышенные значения)
Повышение активности липазы: панкреатит любого происхождения, желчная колика, перфорация любого полого органа, инфаркт кишечника, киста поджелудочной железы, перитонит.
Причины отклонения показателей от нормы (сниженные значения)
1.Снижение функции поджелудочной железы.
2.Муковисцидоз (кистозный фиброз) поджелудочной железы – тяжелое наследственное заболевание, связанное с поражением желез внешней секреции (легкие, желудочно-кишечный тракт).
3.Удаление поджелудочной железы.",биохимическое исследование крови (субстраты ),123,1 рабочий день
ЛДГ,ЛДГ (лактатдегидрогеназа) ,нет,1,сыворотка крови,3000,"Показания к назначению
Диагностика инфаркта миокарда,
Гемолитические анемии,
Опухолевый процесс.
Интерферирующие факторы
Повышают:
анестетики, Аспирин, Вазопрессин, Вальпроевая кислота, наркотики, Прокаинамид, Этанол, Амиодарон, анаболические стероиды, Верапамил, Изотретиноин, Каптоприл, Кодеин, Дапсон, Дилтиазем, Интерферон-альфа, Интерлейкин-2, некоторые антибактериальные и противогрибковые препараты, неспецифические противовоспалительные препараты, Пеницилламин, Стрептокиназа, Тиопентал, Фуросемид, Метотрексат, Сульфасалазин, Симвастатин, Такролимус.                                                                                                                

Снижают:
Амикацин, Аскорбиновая кислота, Гидроксимочевина, Дофибрат, Эналаприл, Метронидазол, Налтрексон, противосудорожные препараты, Цефотаксим.","Лактатдегидрогеназа (ЛДГ) - фермент, катализирующий отщепление водорода от молекулы молочной кислоты (лактата).
Данная реакция - одна из важнейших в процессе анаэробного метаболизма глюкозы. ЛДГ широко распространена в тканях организма человека. Наибольшая активность ЛДГ обнаружена в почках, сердечной мышце, скелетной мускулатуре и печени. Она содержится не только в сыворотке, но и в значительном количестве в эритроцитах, поэтому исследуемая сыворотка должна быть без следов гемолиза.
Большинство органов и тканей человека содержит пять изоферментов ЛДГ. Характер изоферментного спектра ЛДГ и тип обмена веществ в ткани коррелируют между собой: в тканях с преимущественно аэробным обменом веществ (сердце, мозг,почки) наибольшей ЛДГ-активностью обладают изоферменты ЛДГ1 и ЛДГ2; в тканях с выраженным анаэробным обменом веществ (печень, скелетная мускулатура) преобладают изоферменты ЛДГ4 и ЛДГ5 .В сыворотке крови здорового человека постоянно обнаруживаются все пять изоферментов лактатдегидрогеназы. Данное исследование предполагает измерение активности общей ЛДГ.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду), допустимо днем через 4 часа после легкого приема пищи, но в течение дня показатели крови могут существенно меняться, результат «утреннего» анализа - самый достоверный. Накануне избегать пищевых перегрузок. Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
Повышение активности лактатдегидрогеназы: мегалобластная и пернициозная анемия, инфаркт миокарда, вирусный гепатит, шок, гипоксия, гипертермия, цирроз печени, механическая желтуха, болезни почек, неоплазии, застойная сердечная недостаточность.
Причины отклонения показателей от нормы (сниженные значения)
Снижение активности лактатдегидрогеназы: генетический дефект, иммуноингибирование активности ЛДГ.",биохимическое исследование крови (субстраты ),123,1 рабочий день
ЛДГ-1-2 (гидроксибутиратдегидрогеназа) ,ЛДГ-1-2 (гидроксибутиратдегидрогеназа) ,нет,1,сыворотка крови,2800,"Показания к назначению
Диагностика инфаркта миокарда.
Интерферирующие факторы
Прием некоторых лекарственных препаратов: Аспирин, Этиловый спирт, анестетики и др.","Лактатдегидрогеназа 1-2 (гидроксибутиратдегидрогеназа) - фермент, катализирующий отщепление водорода от молекулы молочной кислоты (лактата). Данная реакция - одна из важнейших в процессе анаэробного метаболизма глюкозы.
ЛДГ 1-2 - изофермент лактатдегидрогеназы, локализованный преимущественно в сердце, мозге и почках.
Определение активности ЛДГ 1-2 используется в клинической практике, главным образом, для установления источника повышения активности общей ЛДГ. У больных с повреждением миокарда в сыворотке крови резко повышается активность ЛДГ 1-2. Динамика начала подъема активности ЛДГ 1-2 совпадает с таковой для общей ЛДГ, однако продолжительность повышения активности ЛДГ 1-2 более длительна - 10-12 суток. При стенокардии активность ЛДГ 1-2 не изменяется. При неясной клинической симптоматике и нормальной общей активности ЛДГ повышение активности ЛДГ 1-2 указывает на мелкие некротические очаги в миокарде. При заболеваниях печени возрастает активтость ЛДГ 4-5 и уменьшается активность ЛДГ 1-2. У больных с прогрессирующей мышечной дистрофией (миопатией) в крови повышается активность изофермента ЛДГ 1-2 и снижается активность ЛДГ 4-5.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду), допустимо днем через 4 часа после легкого приема пищи, но в течение дня показатели крови могут существенно меняться, результат «утреннего» анализа - самый достоверный. Накануне избегать пищевых перегрузок. Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
Повышение активности ЛДГ 1-2: острый инфаркт миокарда, мышечная дистрофия, некроз коры почки, пернициозная, гемолитическая, острая серповидноклеточная, мегалобластная анемии, тератома, семинома яичка.
Причины отклонения показателей от нормы (сниженные значения)
нормализация на фоне лечения; спонтанная нормализация.",биохимическое исследование крови (субстраты ),123,1 рабочий день
Креатинкиназа,Креатинкиназа,нет,1,сыворотка крови,3500,"Показания к назначению
Диагностика миопатий,
Диагностика инфаркта миокарда,
Диагностика заболеваний центральной нервной системы.
Интерферирующие факторы
Повышают:
Аминокапроновая кислота, Амфотерицин В, Каптоприл, Клиндамицин, Диклофенак, Дигоксин, ингибиторы 3-гидрокси-3-метилглутарил-КоА редуктазы, Инсулин, Лидокаин, Пропранолол, Стрептокиназа и др.                                                                                                  

Снижают:
Аскорбиновая кислота, Амикацин, Аспирин, кортикостероиды и др.","Креатинкиназа (креатинфосфокиназа, КК) - фермент, катализирующий перенос фосфата с креатинфосфата на аденозиндифосфат.
Продуктами реакции являются креатин и аденозинтрифосфат. Таким образом, КК играет важную роль в энергетическом обмене тканей. Наиболее богаты КК скелетная мускулатура, сердечная мышца, меньше ее содержится в мозге, щитовидной железе, матке, легких. КК состоит из двух белковых субъединиц - М и В, что позволяет идентифицировать три функционально одинаковых, но структурно различных изофермента КК: КК-ММ (мышечный), КК-МВ (сердечный) и КК-ВВ (мозговой).
При определении активности КК в сыворотке крови определяют суммарную (общую) активность всех изоферментов креатинкиназы.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду), допустимо днем через 4 часа после легкого приема пищи, но в течение дня показатели крови могут существенно меняться, результат «утреннего» анализа - самый достоверный. Накануне избегать пищевых перегрузок. Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
Повышение активности креатикиназы: травма, хирургическое вмешательство, инфаркт миокарда и нарушение кровоснабжения любой мышцы, миопатии любого происхождения, синдром Рейе, гипотиреоз, сахарный диабет, обширный инфаркт мозга, опухоли предстательной железы, мочевого пузыря и желудочнокишечного тракта, беременность.
Причины отклонения показателей от нормы (сниженные значения)
Снижение активности креатинкиназы (необычайно низкие значения) наблюдаются при тиреотоксикозе.",биохимическое исследование крови (субстраты ),123,1 рабочий день
Кислая фосфатаза общая,Кислая фосфатаза общая,нет,1,сыворотка крови,2800,"Показания к назначению
диагностика рака предстательной железы;
выявлений заболеваний печени, почек.
Интерферирующие факторы
Интерферирующие факторы не установлены.","Кислая фосфатаза содержится почти во всех органах и тканях человека, особенно в клетках крови, предстательной железе, печени, почках, костях. Ее активность в предстательной железе в 100 раз выше, чем в других органах. У женщин кислая фосфатаза вырабатывается печенью, эритроцитами, тромбоцитами. Определение активности кислой фосфатазы в клинической практике проводят для диагностики рака предстательной желез. Однако только у 20-25% больных без метастазов и у 60% больных с метастазами данный показатель повышен. Определение активности кислой фосфатазы используется для дифференциальной диагностики метастазов рака предстательной железы в кости и заболеваний костной ткани, при которых повышена ее активность.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду), допустимо днем через 4 часа после легкого приема пищи, но в течение дня показатели крови могут существенно меняться, результат «утреннего» анализа - самый достоверный. Накануне избегать пищевых перегрузок. Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
Интерпретация результатов исследования содержит информацию для лечащего врача и не является диагнозом.                                                            карцинома простаты (особенно при наличии метастазов);аденома простаты;лечебно-диагностические манипуляции;болезнь Гоше;опухоли костной ткани;болезни ретикулоэндотелиальной системы;патология гепатобилиарной системы;остеопороз;тромбоэмболии.
Причины отклонения показателей от нормы (сниженные значения)
Интерпретация результатов исследования содержит информацию для лечащего врача и не является диагнозом.",биохимическое исследование крови (субстраты ),123,1 рабочий день
"Калий, Натрий, Хлор (К+, Na+, Cl-) ","Калий, Натрий, Хлор (К+, Na+, Cl-) ",нет,1,сыворотка крови,3500,"Показания к назначению
Калий - исследование функции почек, сердечно-сосудистая патология,аритмии, артериальная гипертония, надпочечниковая недостаточность, контроль содержания калия в крови при назначении диуретиков, сердечных гликозидов; 
Натрий - рвота, диарея, обезвоживание, усиление потеря жидкости, заболевание почек, надпочечниковая недостаточность;
Хлор - мониторинг и динамическое наблюдение расстройств кислотно-щелочного состояния при различых заболеваниях, заболевания почек, несахарный диабет, патология надпочечников.
Интерферирующие факторы
Повышают:
анаболические стероиды, кортикостероиды, слабительные средства, лекарства от кашля и оральные контрацептивы.

Снижают:
диуретики, Карбамазепин и трициклические антидепрессанты.","Калий играет важную роль в физиологических процессах сокращения мышц, деятельности сердца, проведения нервного импульса, ферментативных процессах. Поддержание его нормального уровня в плазме крови зависит от адекватного поступления с пищей, функционирования желудочно-кишечного тракта, почек, уровня кислотно-щелочного состояния, работы натрий-калиевого насоса. В оценке состояния электролитного баланса имеют значение лишь очень низкие и очень высокие показатели содержания калия, выходящие за рамки нормы.
Натрий является основным катионом внеклеточной жидкости, где его концентрация в 6-10 раз выше, чем внутри клетки. Физиологическая роль натрия заключается в поддержании осмотического давления и pH во внутри- и внеклеточных пространствах. Он влияет на процессы нервной деятельности, состояние мышечной и сердечно-сосудистой систем. Почечная регуляция выведения избытка натрия, поступающего с пищей, позволяет поддерживать его баланс в норме. В регуляции баланса натрия важную роль играют также адекватная секреция альдостерона корой надпочечников и нормальное функционирование желудочно-кишечного тракта.
Хлор является основным внеклеточным катионом. В организме он находится в виде солей натрия, калия, кальция, магния и т.д. Хлор играет важную роль в поддержании кислотно-щелочного равновесия (между плазмой и эритроцитами), осмотического равновесия (между кровью и тканями), баланса воды в организме, активирует амилазу, участвует в образовании соляной кислоты желудочного сока. Основным депо аниона является кожа, способная депонировать в себе до 30-60% введенного хлора. Хлориды из организма выводятся в основном с мочой (90%), а так же с потом и калом. Обмен хлора регулируется гормонами коркового вещества надпочечников и щитовидной железы. Нарушение обмена хлора ведет к развитию отеков, недостаточной секреции желудочного сока. Резкое уменьшение содержания хлора в организме может привести к тяжелому состоянию вплоть до комы со смертельним исходом.","Подготовка к исследованию
Кровь рекомендуется сдавать утром, натощак (не менее 8 и не более 14 часов голодания, можно пить негазированную воду), допустимо днем через 4 часа после легкого приема пищи, но в течение дня показатели крови могут существенно меняться, результат «утреннего» анализа - самый достоверный. Накануне избегать пищевых перегрузок. Исключить физическое и эмоциональное перенапряжение и не курить 30 минут до сдачи крови.","Причины отклонения показателей от нормы (повышенные значения)
Калий- массивный гемолиз, тяжелое повреждение тканей, анорексия, ацидоз, дегидротация, острая почечная недостаточность, заключительная стадия хронической почечной недостаточности, болезнь Аддисона, тяжелая физическая нагрузка, гипофункция ренин-ангиотензин-альдостероновой системы.

Натрий- потеря жидкости через кожу, легкие, желудочно-кишечный тракт, почки, гиперальдостеронизм, синдром Кушинга, избыточная солевая терапия.

Хлор- повышенное выделение с потом, калом при поносах, повторной рвоте, хроническая и острая почечная недостаточность, крупозная пневмония в стадии разгара, некоторые инфекционные заболевания, неконтролируемая терапия диуретиками (с гипонатриемией), гипокалиемический метаболический алкалоз, диабетический ацидоз, гиперфункция коры надпочечников.
Причины отклонения показателей от нормы (сниженные значения)
Калий-хроническое голодание, продолжительная рвота, диарея, альдостеронизм, синдром Фанкони, алкалоз, муковисцидоз, синдром Кушинга.

Натрий-сахарный диабет, прием диуретиков, острый и хронический пиелонефрит, хроническая почечная недостаточность, обтурация мочевыводящих путей, поликистоз почек, недостаточность коры надпочечников (болезнь Аддисона), потери жидкости при рвоте, диарее, недостаточность поступления с пищей.

Хлор-длительная рвота, нефрит с потерей солей, криз при болезни Аддисона, ацидоз, альдостеронизм, травма головы, острая перемежающаяся порфирия, избыточное потоотделение, синдром неадекватной секреции адренокортикотропного гормона.",биохимическое исследование крови ( Электролиты и Микроэлементы ),123,1 рабочий день
